mtprotosender.py:228 #INFO     [2025-10-04 20:56:17,090] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.51:443/TcpFull...
mtprotosender.py:279 #INFO     [2025-10-04 20:56:17,127] - telethon.network.mtprotosender - 0| Connection to 149.154.167.51:443/TcpFull complete!
handlers.py:99 #INFO     [2025-10-04 20:56:28,915] - root - 0| Handler called. MessageDeleted
api_interface.py:237 #INFO     [2025-10-04 20:56:29,386] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/delete | {'success': True, 'method': 'delete'}
handlers.py:99 #INFO     [2025-10-04 20:56:38,902] - root - 0| Handler called. MessageDeleted
api_interface.py:237 #INFO     [2025-10-04 20:56:39,204] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/delete | {'success': True, 'method': 'delete'}
handlers.py:99 #INFO     [2025-10-04 20:56:52,279] - root - 0| Handler called. MessageDeleted
api_interface.py:237 #INFO     [2025-10-04 20:56:52,601] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/delete | {'success': True, 'method': 'delete'}
handlers.py:99 #INFO     [2025-10-04 20:56:58,783] - root - 0| Handler called. MessageDeleted
api_interface.py:237 #INFO     [2025-10-04 20:56:59,048] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/delete | {'success': True, 'method': 'delete'}
mtprotosender.py:319 #INFO     [2025-10-04 21:03:55,062] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.167.51:443/TcpFull...
mtprotosender.py:339 #INFO     [2025-10-04 21:03:55,062] - telethon.network.mtprotosender - 0| Disconnection from 149.154.167.51:443/TcpFull complete!
